  500.00   0.62541E-03    1366.7        1347.8    
  499.00   0.62353E-03    1364.0        1345.0    
  498.00   0.62166E-03    1361.3        1342.2    
  497.00   0.61980E-03    1358.5        1339.4    
  496.00   0.61794E-03    1355.8        1336.5    
  495.00   0.61610E-03    1353.1        1333.7    
  494.00   0.61427E-03    1350.4        1330.9    
  493.00   0.61245E-03    1347.6        1328.0    
  492.00   0.61064E-03    1344.9        1325.2    
  491.00   0.60884E-03    1342.2        1322.3    
  490.00   0.60704E-03    1339.4        1319.5    
  489.00   0.60526E-03    1336.7        1316.7    
  488.00   0.60349E-03    1334.0        1313.8    
  487.00   0.60172E-03    1331.3        1311.0    
  486.00   0.59997E-03    1328.5        1308.2    
  485.00   0.59822E-03    1325.8        1305.3    
  484.00   0.59648E-03    1323.1        1302.5    
  483.00   0.59475E-03    1320.4        1299.6    
  482.00   0.59303E-03    1317.6        1296.8    
  481.00   0.59132E-03    1314.9        1294.0    
  480.00   0.58962E-03    1312.2        1291.1    
  479.00   0.58793E-03    1309.4        1288.3    
  478.00   0.58624E-03    1306.7        1285.4    
  477.00   0.58457E-03    1304.0        1282.6    
  476.00   0.58290E-03    1301.3        1279.8    
  475.00   0.58124E-03    1298.5        1276.9    
  474.00   0.57959E-03    1295.8        1274.1    
  473.00   0.57794E-03    1293.1        1271.2    
  472.00   0.57631E-03    1290.3        1268.4    
  471.00   0.57468E-03    1287.6        1265.5    
  470.00   0.57306E-03    1284.9        1262.7    
  469.00   0.57145E-03    1282.2        1259.8    
  468.00   0.56985E-03    1279.4        1257.0    
  467.00   0.56825E-03    1276.7        1254.1    
  466.00   0.56667E-03    1274.0        1251.3    
  465.00   0.56509E-03    1271.2        1248.4    
  464.00   0.56352E-03    1268.5        1245.6    
  463.00   0.56195E-03    1265.8        1242.7    
  462.00   0.56040E-03    1263.1        1239.9    
  461.00   0.55885E-03    1260.3        1237.0    
  460.00   0.55731E-03    1257.6        1234.2    
  459.00   0.55577E-03    1254.9        1231.3    
  458.00   0.55424E-03    1252.2        1228.5    
  457.00   0.55273E-03    1249.4        1225.6    
  456.00   0.55121E-03    1246.7        1222.8    
  455.00   0.54971E-03    1244.0        1219.9    
  454.00   0.54821E-03    1241.2        1217.0    
  453.00   0.54672E-03    1238.5        1214.2    
  452.00   0.54524E-03    1235.8        1211.3    
  451.00   0.54376E-03    1233.1        1208.5    
  450.00   0.54229E-03    1230.3        1205.6    
  449.00   0.54083E-03    1227.6        1202.8    
  448.00   0.53937E-03    1224.9        1199.9    
  447.00   0.53792E-03    1222.1        1197.0    
  446.00   0.53648E-03    1219.4        1194.2    
